OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"FREGAT DEB","2011-037HV","126.499","3480.263","458.297","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46018U 11037HV  21271.25001960  .00018896  00000-0  52904-2 0  9991","2 46018  51.4311 236.4562 1810121 251.9802  87.6281 11.38347248 48235"
"FREGAT DEB","2011-037HW","156.032","5973.191","471.900","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46019U 11037HW  20243.77841792  .00272243  00000-0  13111+0 0  9994","2 46019  51.6698 255.1576 2865053 125.1234 265.2655  9.22889569  2983"
"FREGAT DEB","2011-037HX","156.958","6005.606","515.392","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46020U 11037HX  20243.43515297  .00092441  00000-0  65467-1 0  9990","2 46020  51.0882 254.7374 2848025 133.9559 253.4612  9.17443954  2948"
"FREGAT DEB","2011-037HY","145.562","5156.802","419.452","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46021U 11037HY  21047.40103108  .01061550  00000-0  26411+0 0  9997","2 46021  49.9029 300.4083 2584123  73.8877 312.8917  9.89268883 18518"
"FREGAT DEB","2011-037HZ","124.449","2964.189","793.505","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46022U 11037HZ  20242.09053424 -.00006213  00000-0 -13864-1 0  9990","2 46022  50.9844 156.4101 1314454 229.1827 118.7527 11.57099667  4250"
"FREGAT DEB","2011-037JA","155.753","5921.930","500.299","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46023U 11037JA  20243.31679810  .00166913  00000-0  10262+0 0  9999","2 46023  51.3757 254.6196 2826932 126.3564 263.2547  9.24540295  3526"
"FALCON 9 DEB","2020-055BK","91.823","370.525","357.417","DEBRIS","US","2020-08-07","AFETR","MEDIUM","1 46084U 20055BK  21272.41314205  .00034295  00000-0  30399-3 0  9998","2 46084  53.0123  47.2210 0009721 233.1447 126.8678 15.68228628 69952"
"FALCON 9 DEB","2020-055BL","91.807","368.463","357.864","DEBRIS","US","2020-08-07","AFETR","MEDIUM","1 46085U 20055BL  21272.41056340  .00034895  00000-0  30592-3 0  9993","2 46085  53.0095  46.3797 0007861 230.6348 129.3971 15.68510555 69953"
"FALCON 9 DEB","2020-055BM","91.740","366.843","352.965","DEBRIS","US","2020-08-07","AFETR","MEDIUM","1 46086U 20055BM  21271.70346363  .00035784  00000-0  29889-3 0  9997","2 46086  53.0067  46.7229 0010298 216.9230 143.1078 15.69648820 69884"
"FALCON 9 DEB","2020-055BN","91.710","364.404","352.460","DEBRIS","US","2020-08-07","AFETR","MEDIUM","1 46087U 20055BN  21271.53969611  .00036433  00000-0  29801-3 0  9992","2 46087  53.0053  46.3243 0008865 209.2384 150.8136 15.70163150 69873"
"FALCON 9 DEB","2020-055BR","91.560","356.570","345.598","DEBRIS","US","2020-08-07","AFETR","MEDIUM","1 46090U 20055BR  21271.53259652  .00052385  00000-0  38210-3 0  9991","2 46090  53.0022  45.4095 0008152 231.7557 128.2727 15.72735729 69884"
"BLOCK DM-SL DEB","2019-095E","1394.473","35265.127","34670.605","DEBRIS","CIS","2019-12-24","TTMTR","MEDIUM","1 46091U 19095E   21271.75306098 -.00000017  00000-0  00000+0 0  9993","2 46091   1.0435  96.7634 0071896 246.0431 114.2589  1.03264844  5941"
"FREGAT DEB","2011-037JB","115.572","2532.300","430.531","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46092U 11037JB  20253.92591767 +.00401678 +00000-0 +66419-1 0  9994","2 46092 051.2388 091.2275 1337080 269.3835 075.4109 12.45965878006023"
